Invoice ID,Customer type,Gender,Country,City,State,Postal Code,Product line,Quantity,Tax 5%,Sales,Ship Mode,Date,Payment_Type,CRating
635-40-6220,Normal,,United States,Troy,New York,12180,Health and beauty,8,35.84,752.64,First Class,08/03/2019,Ewallet,
817-48-8732,Member,,United States,Troy,New York,12180,Home and lifestyle,10,36.175,759.675,First Class,09/03/2019,Cash,
120-06-4233,Normal,,United States,Troy,New York,12180,Electronic accessories,6,9.183,192.843,First Class,10/03/2019,Cash,
285-68-5083,Member,,United States,Troy,New York,12180,Sports and travel,3,3.711,77.931,First Class,11/03/2019,Credit card,10.00
803-83-5989,Normal,,United States,Troy,New York,12180,Home and lifestyle,6,16.719,351.099,First Class,12/03/2019,Ewallet,7.00
347-34-2234,Member,,United States,Los Angeles,California,90004,Sports and travel,9,24.7815,520.4115,Standard Class,13/03/2019,Ewallet,10.00
199-75-8169,Member,,United States,Los Angeles,California,90004,Sports and travel,10,7.905,166.005,Standard Class,14/03/2019,Credit card,8.60
853-23-2453,Member,Male,United States,Los Angeles,California,90004,Health and beauty,4,15.148,318.108,Standard Class,15/03/2019,Cash,7.60
877-22-3308,Member,Female,United States,Los Angeles,California,90004,Health and beauty,10,7.935,166.635,Standard Class,16/03/2019,Cash,5.80
838-78-4295,Normal,Male,United States,Chicago,Illinois,60610,Health and beauty,2,3.347,70.287,Standard Class,17/03/2019,Ewallet,6.70
109-28-2512,Member,Female,United States,Gilbert,Arizona,85234,Fashion accessories,6,29.283,614.943,Standard Class,18/03/2019,Ewallet,9.90
232-11-3025,Normal,Male,United States,Gilbert,Arizona,85234,Sports and travel,10,39.385,827.085,Standard Class,19/03/2019,Cash,6.40
382-03-4532,Member,Male,United States,Springfield,Virginia,22153,Health and beauty,1,0.9165,19.2465,First Class,20/03/2019,Cash,4.30
393-65-2792,Normal,Female,United States,New York City,New York,10009,Food and beverages,10,44.74,939.54,Standard Class,21/03/2019,Credit card,9.60
796-12-2025,Normal,Female,United States,Jackson,Michigan,49201,Fashion accessories,10,31.06,652.26,Second Class,22/03/2019,Cash,5.90
510-95-6347,Member,Female,United States,Memphis,Tennessee,38109,Food and beverages,3,7.278,152.838,Standard Class,23/03/2019,Ewallet,4.00
841-35-6630,Normal,Female,United States,Memphis,Tennessee,38109,Electronic accessories,6,22.773,478.233,Standard Class,24/03/2019,Cash,8.70
287-21-9091,Normal,Male,United States,Memphis,Tennessee,38109,Home and lifestyle,9,33.6015,705.6315,Standard Class,25/03/2019,Ewallet,9.40
732-94-0499,Normal,Male,United States,Houston,Texas,77041,Electronic accessories,10,20.825,437.325,First Class,26/03/2019,Credit card,5.40
263-10-3913,Member,Female,United States,Houston,Texas,77041,Fashion accessories,9,22.068,463.428,First Class,27/03/2019,Credit card,8.60
381-20-0914,Member,Male,United States,Houston,Texas,77041,Fashion accessories,9,9.0045,189.0945,First Class,28/03/2019,Credit card,5.70
829-49-1914,Member,Female,United States,Houston,Texas,77070,Food and beverages,10,39.155,822.255,Second Class,29/03/2019,Ewallet,6.60
756-01-7507,Normal,Male,United States,Decatur,Alabama,35601,Health and beauty,5,5.095,106.995,First Class,30/03/2019,Cash,6.00
870-72-4431,Normal,Female,United States,Decatur,Alabama,35601,Health and beauty,6,29.757,624.897,First Class,31/03/2019,Credit card,5.50
847-38-7188,Normal,Female,United States,San Francisco,California,94122,Food and beverages,3,14.502,304.542,Standard Class,01/04/2019,Ewallet,6.40
480-63-2856,Normal,Female,United States,San Francisco,California,94122,Food and beverages,8,7.7,161.7,Standard Class,02/04/2019,Ewallet,6.60
787-56-0757,Member,,United States,Durham,North Carolina,27707,Food and beverages,4,16.072,337.512,Standard Class,03/04/2019,Credit card,8.30
360-39-5055,Member,,United States,Chicago,Illinois,60623,Sports and travel,5,12.2275,256.7775,First Class,04/04/2019,Cash,6.60
730-50-9884,Normal,,United States,Columbia,South Carolina,29203,Sports and travel,7,29.071,610.491,Second Class,05/04/2019,Ewallet,4.00
362-58-8315,Normal,,United States,Rochester,Minnesota,55901,Fashion accessories,5,19.13,401.73,Standard Class,06/04/2019,Cash,9.90
633-44-8566,Member,,United States,Rochester,Minnesota,55901,Food and beverages,7,17.283,362.943,Standard Class,07/04/2019,Credit card,7.30
504-35-8843,Normal,,United States,Houston,Texas,77095,Sports and travel,1,2.1235,44.5935,Second Class,08/04/2019,Cash,5.70
318-68-5053,Normal,,United States,Los Angeles,California,90036,Health and beauty,6,23.097,485.037,Standard Class,09/04/2019,Cash,6.10
565-80-5980,Member,,United States,Los Angeles,California,90036,Home and lifestyle,4,9.476,198.996,Standard Class,10/04/2019,Cash,7.10
225-32-0908,Normal,,United States,Los Angeles,California,90036,Sports and travel,10,22.43,471.03,Standard Class,11/04/2019,Ewallet,8.20
873-51-0671,Member,,United States,Minneapolis,Minnesota,55407,Sports and travel,7,7.693,161.553,Second Class,12/04/2019,Ewallet,5.10
152-08-9985,Member,,United States,Minneapolis,Minnesota,55407,Health and beauty,9,28.962,608.202,Second Class,13/04/2019,Credit card,8.60
512-91-0811,Normal,,United States,Minneapolis,Minnesota,55407,Health and beauty,1,4.4875,94.2375,Second Class,14/04/2019,Credit card,6.60
594-34-4444,Normal,,United States,Portland,Oregon,97206,Electronic accessories,1,4.858,102.018,Standard Class,15/04/2019,Ewallet,7.20
766-85-7061,Normal,,United States,New York City,New York,10009,Health and beauty,10,43.935,922.635,Second Class,16/04/2019,Ewallet,5.10
871-39-9221,Normal,,United States,San Francisco,California,94122,Electronic accessories,6,3.735,78.435,First Class,17/04/2019,Cash,4.10
865-92-6136,Normal,,United States,Saint Paul,Minnesota,55106,Food and beverages,3,7.9125,166.1625,Standard Class,18/04/2019,Ewallet,9.30
733-01-9107,Normal,,United States,Chicago,Illinois,60610,Home and lifestyle,6,24.81,521.01,Standard Class,19/04/2019,Cash,7.40
163-56-7055,Member,,United States,Chicago,Illinois,60610,Fashion accessories,1,2.4355,51.1455,Standard Class,20/04/2019,Cash,
189-98-2939,Normal,,United States,Chicago,Illinois,60610,Fashion accessories,9,35.3475,742.2975,Standard Class,21/04/2019,Cash,7.20
551-21-3069,Normal,,United States,Rochester,Minnesota,55901,Electronic accessories,9,10.3815,218.0115,Second Class,22/04/2019,Cash,4.90
212-62-1842,Normal,,United States,Aurora,Colorado,80013,Food and beverages,6,17.478,367.038,Standard Class,23/04/2019,Cash,9.90
716-39-1409,Normal,,United States,Aurora,Colorado,80013,Health and beauty,7,10.6225,223.0725,Standard Class,24/04/2019,Cash,8.00
704-48-3927,Member,,United States,Aurora,Colorado,80013,Electronic accessories,10,44.335,931.035,Standard Class,25/04/2019,Ewallet,7.30
628-34-3388,Normal,,United States,Charlotte,North Carolina,28205,Fashion accessories,6,8.214,172.494,Standard Class,26/04/2019,Credit card,7.90
630-74-5166,Normal,,United States,Charlotte,North Carolina,28205,Sports and travel,6,18.639,391.419,Standard Class,27/04/2019,Cash,7.40
588-01-7461,Normal,,United States,Charlotte,North Carolina,28205,Food and beverages,9,15.291,321.111,Standard Class,28/04/2019,Cash,4.20
861-77-0145,Member,,United States,Orland Park,Illinois,60462,Electronic accessories,10,40.985,860.685,Standard Class,29/04/2019,Cash,9.20
479-26-8945,Member,,United States,New York City,New York,10035,Sports and travel,2,1.649,34.629,Standard Class,30/04/2019,Ewallet,4.60
210-67-5886,Member,,United States,Urbandale,Iowa,50322,Health and beauty,3,14.7315,309.3615,Standard Class,01/05/2019,Credit card,7.80
227-78-1148,Normal,,United States,Urbandale,Iowa,50322,Fashion accessories,7,25.494,535.374,Standard Class,02/05/2019,Cash,8.40
645-44-1170,Member,,United States,Columbus,Ohio,43229,Home and lifestyle,9,26.1315,548.7615,Second Class,03/05/2019,Ewallet,4.30
237-01-6122,Member,,United States,Columbus,Ohio,43229,Home and lifestyle,9,36.3555,763.4655,Second Class,04/05/2019,Credit card,9.50
225-98-1496,Normal,,United States,Columbus,Ohio,43229,Fashion accessories,3,4.053,85.113,Second Class,05/05/2019,Credit card,7.10
291-32-1427,Member,,United States,Columbus,Ohio,43229,Fashion accessories,5,5.485,115.185,Second Class,06/05/2019,Ewallet,5.30
659-65-8956,Member,,United States,Seattle,Washington,98103,Fashion accessories,1,2.568,53.928,Standard Class,07/05/2019,Ewallet,5.20
642-32-2990,Normal,,United States,Bristol,Tennessee,37620,Food and beverages,10,5.48,115.08,Standard Class,08/05/2019,Ewallet,6.00
378-24-2715,Normal,,United States,Wilmington,Delaware,19805,Home and lifestyle,2,5.344,112.224,First Class,09/05/2019,Ewallet,4.10
638-60-7125,Normal,,United States,Wilmington,Delaware,19805,Electronic accessories,8,39.824,836.304,First Class,10/05/2019,Credit card,5.20
659-36-1684,Member,,United States,Wilmington,Delaware,19805,Sports and travel,7,19.992,419.832,First Class,11/05/2019,Credit card,6.50
219-22-9386,Member,,United States,Wilmington,Delaware,19805,Sports and travel,9,44.982,944.622,First Class,12/05/2019,Credit card,
336-78-2147,Member,,United States,Wilmington,Delaware,19805,Home and lifestyle,8,25.564,536.844,First Class,13/05/2019,Credit card,4.60
268-27-6179,Member,,United States,Houston,Texas,77041,Fashion accessories,8,22.588,474.348,Second Class,14/05/2019,Ewallet,7.30
668-90-8900,Normal,,United States,Bloomington,Illinois,61701,Home and lifestyle,7,32.7915,688.6215,Standard Class,15/05/2019,Credit card,4.50
870-54-3162,Normal,,United States,Phoenix,Arizona,85023,Sports and travel,5,8.0625,169.3125,Standard Class,16/05/2019,Cash,9.00
189-08-9157,Normal,,United States,Phoenix,Arizona,85023,Fashion accessories,9,14.2785,299.8485,Standard Class,17/05/2019,Credit card,5.90
663-86-9076,Member,,United States,Los Angeles,California,90004,Food and beverages,8,27.416,575.736,Second Class,18/05/2019,Ewallet,8.50
549-84-7482,Normal,,United States,Los Angeles,California,90004,Sports and travel,9,40.626,853.146,Second Class,19/05/2019,Ewallet,7.20
191-10-6171,Normal,,United States,Columbus,Ohio,43229,Fashion accessories,7,13.867,291.207,First Class,20/05/2019,Cash,7.50
802-70-5316,Member,,United States,Columbus,Ohio,43229,Sports and travel,6,27.639,580.419,First Class,21/05/2019,Cash,8.30
695-51-0018,Normal,,United States,Columbus,Ohio,43229,Sports and travel,4,6.968,146.328,First Class,22/05/2019,Cash,7.40
590-83-4591,Member,,United States,Roseville,California,95661,Electronic accessories,6,26.235,550.935,Standard Class,23/05/2019,Credit card,8.80
483-71-1164,Normal,,United States,Roseville,California,95661,Health and beauty,6,24.39,512.19,Standard Class,24/05/2019,Ewallet,5.30
597-78-7908,Normal,,United States,Roseville,California,95661,Fashion accessories,3,13.533,284.193,Standard Class,25/05/2019,Cash,6.20
700-81-1757,Normal,,United States,Roseville,California,95661,Electronic accessories,5,6.5775,138.1275,Standard Class,26/05/2019,Credit card,8.80
354-39-5160,Member,,United States,Roseville,California,95661,Home and lifestyle,6,10.326,216.846,Standard Class,27/05/2019,Cash,9.80
241-72-9525,Normal,,United States,Roseville,California,95661,Sports and travel,10,25.955,545.055,Standard Class,28/05/2019,Cash,8.20
575-30-8091,Normal,,United States,Roseville,California,95661,Sports and travel,8,29,609,Standard Class,29/05/2019,Ewallet,9.20
731-81-9469,Member,Female,United States,Philadelphia,Pennsylvania,19140,Sports and travel,10,44.9,942.9,Second Class,30/05/2019,Credit card,5.40
280-17-4359,Member,Female,United States,San Francisco,California,94122,Health and beauty,10,45.25,950.25,Standard Class,31/05/2019,Cash,8.10
338-65-2210,Member,Female,United States,San Francisco,California,94122,Health and beauty,10,34.3,720.3,Standard Class,01/06/2019,Cash,9.10
488-25-4221,Member,Female,United States,San Francisco,California,94122,Food and beverages,1,1.5205,31.9305,Standard Class,02/06/2019,Credit card,8.40
239-10-7476,Normal,Female,United States,Independence,Missouri,64055,Home and lifestyle,6,23.385,491.085,Standard Class,03/06/2019,Ewallet,
458-41-1477,Normal,Female,United States,Pasadena,California,91104,Health and beauty,6,13.878,291.438,Standard Class,04/06/2019,Credit card,9.50
685-64-1609,Member,Female,United States,Newark,Ohio,43055,Fashion accessories,10,15.07,316.47,Standard Class,05/06/2019,Ewallet,9.20
568-90-5112,Normal,Female,United States,Franklin,Wisconsin,53132,Health and beauty,4,13.228,277.788,Standard Class,06/06/2019,Ewallet,5.60
262-47-2794,Member,Female,United States,Franklin,Wisconsin,53132,Home and lifestyle,8,28.744,603.624,Standard Class,07/06/2019,Ewallet,6.20
238-49-0436,Normal,Female,United States,Franklin,Wisconsin,53132,Health and beauty,8,12.984,272.664,Standard Class,08/06/2019,Ewallet,4.90
608-96-3517,Member,Female,United States,Franklin,Wisconsin,53132,Fashion accessories,4,18.308,384.468,Standard Class,09/06/2019,Ewallet,4.80
584-86-7256,Member,Female,United States,Scottsdale,Arizona,85254,Sports and travel,7,12.096,254.016,First Class,10/06/2019,Ewallet,7.30
746-94-0204,Normal,Female,United States,Scottsdale,Arizona,85254,Fashion accessories,9,37.458,786.618,First Class,11/06/2019,Ewallet,7.40
214-17-6927,Normal,Female,United States,San Jose,California,95123,Food and beverages,6,4.944,103.824,First Class,12/06/2019,Ewallet,9.90
400-89-4171,Normal,Female,United States,San Jose,California,95123,Sports and travel,8,32.388,680.148,First Class,13/06/2019,Cash,9.30
782-95-9291,Member,Female,United States,San Jose,California,95123,Food and beverages,5,23.0725,484.5225,First Class,14/06/2019,Credit card,9.00
279-74-2924,Member,Female,United States,Seattle,Washington,98105,Electronic accessories,1,3.6085,75.7785,Standard Class,15/06/2019,Cash,6.10
307-85-2293,Normal,Female,United States,Seattle,Washington,98115,Home and lifestyle,5,12.57,263.97,Second Class,16/06/2019,Ewallet,9.70
743-04-1105,Member,Female,United States,Edmond,Oklahoma,73034,Health and beauty,9,43.749,918.729,Standard Class,17/06/2019,Ewallet,6.00
423-57-2993,Normal,Female,United States,Edmond,Oklahoma,73034,Sports and travel,6,28.017,588.357,Standard Class,18/06/2019,Ewallet,10.00
894-41-5205,Normal,Female,United States,Los Angeles,California,90045,Food and beverages,8,17.272,362.712,First Class,19/06/2019,Credit card,8.30
275-28-0149,Normal,Female,United States,Philadelphia,Pennsylvania,19134,Sports and travel,1,3.1845,66.8745,Second Class,20/06/2019,Cash,6.00
101-17-6199,Normal,Female,United States,Carlsbad,New Mexico,88220,Food and beverages,7,16.0265,336.5565,Standard Class,21/06/2019,Credit card,7.00
423-80-0988,Normal,Female,United States,Seattle,Washington,98115,Sports and travel,2,7.64,160.44,Standard Class,22/06/2019,Ewallet,6.50
548-46-9322,Normal,Male,United States,San Antonio,Texas,78207,Food and beverages,10,19.95,418.95,Standard Class,23/06/2019,Credit card,5.90
505-02-0892,Member,Male,United States,San Antonio,Texas,78207,Health and beauty,8,17.028,357.588,Standard Class,24/06/2019,Ewallet,5.60
234-65-2137,Normal,Male,United States,San Antonio,Texas,78207,Home and lifestyle,10,47.79,1003.59,Standard Class,25/06/2019,Cash,
687-47-8271,Normal,Male,United States,San Antonio,Texas,78207,Fashion accessories,10,49.49,1039.29,Standard Class,26/06/2019,Credit card,8.70
796-32-9050,Normal,Male,United States,San Antonio,Texas,78207,Food and beverages,6,15.384,323.064,Standard Class,27/06/2019,Cash,6.50
105-31-1824,Member,Male,United States,San Antonio,Texas,78207,Sports and travel,7,24.332,510.972,Standard Class,28/06/2019,Credit card,8.50
249-42-3782,Normal,Male,United States,San Antonio,Texas,78207,Health and beauty,5,17.5025,367.5525,Standard Class,29/06/2019,Ewallet,5.50
316-55-4634,Member,Male,United States,Los Angeles,California,90004,Food and beverages,5,20.0125,420.2625,Standard Class,30/06/2019,Credit card,9.40
733-33-4967,Normal,Male,United States,Los Angeles,California,90004,Electronic accessories,8,8.34,175.14,Standard Class,01/07/2019,Cash,6.30
608-27-6295,Member,Male,United States,Los Angeles,California,90004,Electronic accessories,6,15.867,333.207,Standard Class,02/07/2019,Credit card,9.80
414-12-7047,Normal,Male,United States,Chicago,Illinois,60623,Food and beverages,8,7.916,166.236,Standard Class,03/07/2019,Ewallet,8.70
827-26-2100,Member,Male,United States,Chicago,Illinois,60623,Home and lifestyle,9,15.228,319.788,Standard Class,04/07/2019,Ewallet,8.80
175-54-2529,Member,Male,United States,Houston,Texas,77036,Food and beverages,8,8.868,186.228,Second Class,05/07/2019,Credit card,9.60
139-52-2867,Normal,Female,United States,Newark,Ohio,43055,Fashion accessories,7,7.8785,165.4485,Second Class,06/07/2019,Credit card,4.80
407-63-8975,Normal,Male,United States,Newark,Ohio,43055,Food and beverages,6,22.164,465.444,Second Class,07/07/2019,Ewallet,4.40
342-65-4817,Member,Male,United States,New York City,New York,10009,Health and beauty,3,13.02,273.42,Standard Class,08/07/2019,Ewallet,9.90
130-98-8941,Normal,Male,United States,Decatur,Illinois,62521,Fashion accessories,7,22.491,472.311,Second Class,09/07/2019,Cash,5.70
434-83-9547,Member,Male,United States,Decatur,Illinois,62521,Food and beverages,8,15.388,323.148,Second Class,10/07/2019,Cash,7.70
851-28-6367,Member,Male,United States,Monroe,Louisiana,71203,Sports and travel,10,7.75,162.75,Second Class,11/07/2019,Ewallet,8.00
824-88-3614,Normal,Male,United States,Monroe,Louisiana,71203,Health and beauty,8,13.724,288.204,Second Class,12/07/2019,Ewallet,5.70
586-25-0848,Normal,Female,United States,Monroe,Louisiana,71203,Sports and travel,7,4.319,90.699,Second Class,13/07/2019,Credit card,6.70
895-66-0685,Member,Male,United States,Fairfield,Connecticut,6824,Food and beverages,3,2.712,56.952,Standard Class,14/07/2019,Ewallet,8.00
305-14-0245,Member,Female,United States,Los Angeles,California,90032,Home and lifestyle,8,37.796,793.716,Standard Class,15/07/2019,Ewallet,7.50
732-04-5373,Member,Male,United States,Grand Prairie,Texas,75051,Home and lifestyle,4,9.294,195.174,Standard Class,16/07/2019,Cash,7.00
400-60-7251,Normal,Male,United States,Grand Prairie,Texas,75051,Home and lifestyle,1,3.7035,77.7735,Standard Class,17/07/2019,Ewallet,
593-65-1552,Normal,Female,United States,New York City,New York,10035,Home and lifestyle,4,13.962,293.202,First Class,18/07/2019,Credit card,5.90
284-34-9626,Normal,Female,United States,New York City,New York,10035,Home and lifestyle,3,11.556,242.676,First Class,19/07/2019,Credit card,7.20
437-58-8131,Normal,Female,United States,New York City,New York,10035,Fashion accessories,2,7.352,154.392,First Class,20/07/2019,Ewallet,4.60
286-43-6208,Normal,Female,United States,New York City,New York,10035,Food and beverages,9,39.51,829.71,First Class,21/07/2019,Cash,9.20
641-43-2399,Normal,Male,United States,New York City,New York,10035,Home and lifestyle,4,5.11,107.31,First Class,22/07/2019,Ewallet,5.70
831-07-6050,Normal,Male,United States,Redlands,California,92374,Electronic accessories,5,8.1775,171.7275,Standard Class,23/07/2019,Credit card,9.90
556-86-3144,Member,Female,United States,Hamilton,Ohio,45011,Fashion accessories,1,3.7145,78.0045,Standard Class,24/07/2019,Cash,5.00
848-24-9445,Member,Male,United States,Hamilton,Ohio,45011,Health and beauty,2,4.37,91.77,Standard Class,25/07/2019,Cash,4.90
856-22-8149,Normal,Female,United States,Westfield,New Jersey,7090,Home and lifestyle,1,1.2645,26.5545,Standard Class,26/07/2019,Ewallet,6.10
699-01-4164,Normal,Male,United States,Philadelphia,Pennsylvania,19120,Health and beauty,4,8.3,174.3,Standard Class,27/07/2019,Credit card,8.20
420-11-4919,Member,Female,United States,Philadelphia,Pennsylvania,19120,Food and beverages,5,17.8475,374.7975,Standard Class,28/07/2019,Credit card,5.50
606-80-4905,Member,Female,United States,Akron,Ohio,44312,Sports and travel,6,5.745,120.645,Standard Class,29/07/2019,Credit card,6.80
542-41-0513,Member,Female,United States,Denver,Colorado,80219,Electronic accessories,4,11.498,241.458,First Class,30/07/2019,Cash,6.60
426-39-2418,Normal,Male,United States,Denver,Colorado,80219,Electronic accessories,7,21.4935,451.3635,First Class,31/07/2019,Cash,9.80
875-46-5808,Member,Male,United States,Dallas,Texas,75220,Health and beauty,10,12.95,271.95,Second Class,01/08/2019,Ewallet,8.70
